file,url,current_title,current_meta,h1,target_query,clicks,impressions,ctr,position,expected_ctr,ctr_gap,bucket,opportunity,reason
content/blog/recover-deleted-claude-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-claude-conversation,Can You Recover a Deleted Claude Conversation?,"Can you recover deleted Claude chats? Here is whether a deleted conversation can be restored, where to look for copies, and how to stop losing conversations for good.",Can You Recover a Deleted Claude Conversation?,recover deleted claude conversation,85,38734,0.0022,7.92,0.0326,0.0304,A,1177.4,action-intent recover/export/search/find/organize
content/blog/recover-deleted-grok-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-grok-conversation,Can You Recover a Deleted Grok Conversation?,"Deleted a Grok chat? There is no built-in recovery. Here is what is possible, how X integration affects it, and how to avoid losing chats.",Can You Recover a Deleted Grok Conversation?,recover deleted grok conversation,42,38717,0.0011,8.45,0.0302,0.0291,A,1127.3,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-perplexity-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-perplexity-conversations,Perplexity AI Chat History Feature: How to Find Old Conversations,Explore the Perplexity AI chat history feature and learn how to find and manage old conversations in Perplexity Library.,Perplexity AI Chat History Feature: How to Find Old Conversations,find old perplexity conversations,15,16363,0.0009,7.36,0.0365,0.0356,A,581.9,action-intent recover/export/search/find/organize
content/blog/recover-deleted-chatgpt-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-chatgpt-conversation,Can You Recover a Deleted ChatGPT Conversation?,"Deleted a ChatGPT chat? OpenAI has no undo, but here is what is still recoverable, where to find copies, and how to prevent it next time.",Can You Recover a Deleted ChatGPT Conversation?,recover deleted chatgpt conversation,13,20113,0.0006,8.91,0.0284,0.0277,A,557.5,action-intent recover/export/search/find/organize
content/blog/recover-deleted-gemini-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-gemini-conversation,Can You Recover a Deleted Gemini Conversation?,"Deleted Gemini chats are not recoverable in the app. Here is what really happens when you delete one, and how to prevent the loss next time.",Can You Recover a Deleted Gemini Conversation?,recover deleted gemini conversation,15,16705,0.0009,9.02,0.0279,0.027,A,451.7,action-intent recover/export/search/find/organize
content/blog/search-perplexity-conversation-history.mdx,https://www.llmnesia.com/blog/search-perplexity-conversation-history,Perplexity AI Conversation History: How to Search It,"Find old Perplexity answers and search them alongside ChatGPT, Claude, Gemini and more — locally, privately, with LLMnesia.",Perplexity AI Conversation History: How to Search It,search perplexity conversation history,5,13281,0.0004,8.54,0.0298,0.0295,A,391.4,action-intent recover/export/search/find/organize
content/blog/search-grok-conversation-history.mdx,https://www.llmnesia.com/blog/search-grok-conversation-history,How to Search Grok Conversation History on X and Grok.com,Grok saves your conversations in a sidebar accessible from X (Twitter) and grok.com — but finding a specific past answer requires scrolling through an undifferentiated list. This guide covers every method to locate old Grok conversations and search their content.,How to Search Grok Conversation History on X and Grok.com,grok conversation history,9,11822,0.0008,7.92,0.0326,0.0318,A,376.3,action-intent recover/export/search/find/organize
content/blog/recover-deleted-perplexity-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-perplexity-conversation,Can You Recover a Deleted Perplexity Conversation? (What's Possible),"Deleting a Perplexity thread removes it from your Library and there is no built-in recovery mechanism. This guide explains what's possible after deleting a Perplexity conversation, including free vs Pro tier differences.",Can You Recover a Deleted Perplexity Conversation? (What's Possible),recover deleted perplexity conversation,17,11098,0.0015,7.59,0.0349,0.0333,A,370.0,action-intent recover/export/search/find/organize
content/blog/gemini-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/gemini-history-not-loading-fix,Gemini History Not Loading? Causes and Fixes,Gemini history showing a blank sidebar or stuck loading? Here are the common causes and step-by-step fixes to get your chats back.,Gemini History Not Loading? Causes and Fixes,gemini history not loading,13,10360,0.0013,7.89,0.0328,0.0315,A,326.5,action-intent recover/export/search/find/organize
content/blog/perplexity-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/perplexity-history-not-loading-fix,"Perplexity Conversation History: Overview, Search & Fixes","Understand how Perplexity conversation history works, how to search old chats, and fix common loading issues.","Perplexity Conversation History: Overview, Search & Fixes",perplexity history not loading,16,7953,0.002,7.23,0.0374,0.0354,A,281.4,action-intent recover/export/search/find/organize
